file,T,tp,fp,tn,fn,precision,recall,f1
7zncd-BZip2-1,41,494,54,1946,6,0.901459854,0.988,0.9427
7zncd-BZip2-3,41,494,54,1946,6,0.901459854,0.988,0.9427
7zncd-BZip2-5,41,494,54,1946,6,0.901459854,0.988,0.9427
7zncd-BZip2-7,42,488,40,1960,12,0.924242424,0.976,0.9494
7zncd-BZip2-9,42,488,40,1960,12,0.924242424,0.976,0.9494
7zncd-default,37,486,47,1953,14,0.911819887,0.972,0.9409
7zncd-Deflate-1,31,481,46,1954,19,0.912713472,0.962,0.9367
7zncd-Deflate-3,31,481,46,1954,19,0.912713472,0.962,0.9367
7zncd-Deflate-5,34,479,46,1954,21,0.912380952,0.958,0.9346
7zncd-Deflate-7,35,492,46,1954,8,0.914498141,0.984,0.948
7zncd-Deflate-9,35,494,46,1954,6,0.914814815,0.988,0.95
7zncd-Deflate64-1,31,481,46,1954,19,0.912713472,0.962,0.9367
7zncd-Deflate64-3,31,481,46,1954,19,0.912713472,0.962,0.9367
7zncd-Deflate64-5,34,480,46,1954,20,0.912547529,0.96,0.9357
7zncd-Deflate64-7,35,492,46,1954,8,0.914498141,0.984,0.948
7zncd-Deflate64-9,35,494,46,1954,6,0.914814815,0.988,0.95
7zncd-LZMA-1,34,471,49,1951,29,0.905769231,0.942,0.9235
7zncd-LZMA-3,34,475,49,1951,25,0.90648855,0.95,0.9277
7zncd-LZMA-5,37,486,47,1953,14,0.911819887,0.972,0.9409
7zncd-LZMA-7,38,495,47,1953,5,0.913284133,0.99,0.9501
7zncd-LZMA-9,38,495,47,1953,5,0.913284133,0.99,0.9501
7zncd-LZMA2-1,34,471,51,1949,29,0.902298851,0.942,0.9217
7zncd-LZMA2-3,34,475,49,1951,25,0.90648855,0.95,0.9277
7zncd-LZMA2-5,37,487,47,1953,13,0.911985019,0.974,0.942
7zncd-LZMA2-7,38,496,47,1953,4,0.913443831,0.992,0.9511
7zncd-LZMA2-9,38,496,47,1953,4,0.913443831,0.992,0.9511
7zncd-PPMd-1,34,481,52,1948,19,0.902439024,0.962,0.9313
7zncd-PPMd-3,34,481,52,1948,19,0.902439024,0.962,0.9313
7zncd-PPMd-5,36,484,54,1946,16,0.899628253,0.968,0.9326
7zncd-PPMd-7,39,489,54,1946,11,0.900552486,0.978,0.9377
7zncd-PPMd-9,41,498,49,1951,2,0.910420475,0.996,0.9513
bsdiff,75,422,8,1992,78,0.981395349,0.844,0.9075
bzip2ncd-1,38,484,40,1960,16,0.923664122,0.968,0.9453
bzip2ncd-2,38,484,40,1960,16,0.923664122,0.968,0.9453
bzip2ncd-3,38,484,40,1960,16,0.923664122,0.968,0.9453
bzip2ncd-4,38,484,40,1960,16,0.923664122,0.968,0.9453
bzip2ncd-5,38,484,40,1960,16,0.923664122,0.968,0.9453
bzip2ncd-6,38,484,40,1960,16,0.923664122,0.968,0.9453
bzip2ncd-7,38,484,40,1960,16,0.923664122,0.968,0.9453
bzip2ncd-8,38,484,40,1960,16,0.923664122,0.968,0.9453
bzip2ncd-9,38,484,40,1960,16,0.923664122,0.968,0.9453
ccfx-10-10,22,484,8,1992,16,0.983739837,0.968,0.9758
ccfx-10-11,18,486,8,1992,14,0.983805668,0.972,0.9779
ccfx-10-12,9,484,32,1968,16,0.937984496,0.968,0.9528
ccfx-10-1,37,500,0,2000,0,1,1,1
ccfx-10-2,37,500,0,2000,0,1,1,1
ccfx-10-3,37,500,0,2000,0,1,1,1
ccfx-10-4,37,500,0,2000,0,1,1,1
ccfx-10-5,37,500,0,2000,0,1,1,1
ccfx-10-6,37,500,0,2000,0,1,1,1
ccfx-10-7,37,500,0,2000,0,1,1,1
ccfx-10-8,33,492,0,2000,8,1,0.984,0.9919
ccfx-10-9,30,488,0,2000,12,1,0.976,0.9879
ccfx-15-10,9,496,0,2000,4,1,0.992,0.996
ccfx-15-11,9,492,0,2000,8,1,0.984,0.9919
ccfx-15-12,5,492,0,2000,8,1,0.984,0.9919
ccfx-15-1,22,492,0,2000,8,1,0.984,0.9919
ccfx-15-2,22,492,0,2000,8,1,0.984,0.9919
ccfx-15-3,22,492,0,2000,8,1,0.984,0.9919
ccfx-15-4,22,492,0,2000,8,1,0.984,0.9919
ccfx-15-5,22,492,0,2000,8,1,0.984,0.9919
ccfx-15-6,22,492,0,2000,8,1,0.984,0.9919
ccfx-15-7,22,492,0,2000,8,1,0.984,0.9919
ccfx-15-8,12,500,0,2000,0,1,1,1
ccfx-15-9,12,500,0,2000,0,1,1,1
ccfx-16-1,22,492,0,2000,8,1,0.984,0.9919
ccfx-16-2,22,492,0,2000,8,1,0.984,0.9919
ccfx-16-3,22,492,0,2000,8,1,0.984,0.9919
ccfx-16-4,22,492,0,2000,8,1,0.984,0.9919
ccfx-16-5,22,492,0,2000,8,1,0.984,0.9919
ccfx-16-6,22,492,0,2000,8,1,0.984,0.9919
ccfx-16-7,22,492,0,2000,8,1,0.984,0.9919
ccfx-16-8,12,500,0,2000,0,1,1,1
ccfx-16-9,12,496,0,2000,4,1,0.992,0.996
ccfx-17-1,22,492,0,2000,8,1,0.984,0.9919
ccfx-17-2,22,492,0,2000,8,1,0.984,0.9919
ccfx-17-3,22,492,0,2000,8,1,0.984,0.9919
ccfx-17-4,22,492,0,2000,8,1,0.984,0.9919
ccfx-17-5,22,492,0,2000,8,1,0.984,0.9919
ccfx-17-6,22,488,0,2000,12,1,0.976,0.9879
ccfx-17-7,22,488,0,2000,12,1,0.976,0.9879
ccfx-17-8,12,500,0,2000,0,1,1,1
ccfx-17-9,12,496,0,2000,4,1,0.992,0.996
ccfx-18-1,15,500,0,2000,0,1,1,1
ccfx-18-2,15,500,0,2000,0,1,1,1
ccfx-18-3,15,500,0,2000,0,1,1,1
ccfx-18-4,15,500,0,2000,0,1,1,1
ccfx-18-5,15,500,0,2000,0,1,1,1
ccfx-18-6,15,500,0,2000,0,1,1,1
ccfx-18-7,15,500,0,2000,0,1,1,1
ccfx-18-8,12,500,0,2000,0,1,1,1
ccfx-18-9,12,496,0,2000,4,1,0.992,0.996
ccfx-19-1,12,500,0,2000,0,1,1,1
ccfx-19-2,12,500,0,2000,0,1,1,1
ccfx-19-3,12,500,0,2000,0,1,1,1
ccfx-19-4,12,500,0,2000,0,1,1,1
ccfx-19-5,12,500,0,2000,0,1,1,1
ccfx-19-6,12,500,0,2000,0,1,1,1
ccfx-19-7,12,500,0,2000,0,1,1,1
ccfx-19-8,12,500,0,2000,0,1,1,1
ccfx-19-9,12,496,0,2000,4,1,0.992,0.996
ccfx-20-10,5,500,0,2000,0,1,1,1
ccfx-20-11,5,496,0,2000,4,1,0.992,0.996
ccfx-20-12,4,492,0,2000,8,1,0.984,0.9919
ccfx-20-1,12,500,0,2000,0,1,1,1
ccfx-20-2,12,500,0,2000,0,1,1,1
ccfx-20-3,12,500,0,2000,0,1,1,1
ccfx-20-4,12,500,0,2000,0,1,1,1
ccfx-20-5,12,500,0,2000,0,1,1,1
ccfx-20-6,12,500,0,2000,0,1,1,1
ccfx-20-7,12,500,0,2000,0,1,1,1
ccfx-20-8,12,500,0,2000,0,1,1,1
ccfx-20-9,12,496,0,2000,4,1,0.992,0.996
ccfx-21-1,12,500,0,2000,0,1,1,1
ccfx-21-2,12,500,0,2000,0,1,1,1
ccfx-21-3,12,500,0,2000,0,1,1,1
ccfx-21-4,12,500,0,2000,0,1,1,1
ccfx-21-5,12,500,0,2000,0,1,1,1
ccfx-21-6,12,500,0,2000,0,1,1,1
ccfx-21-7,12,500,0,2000,0,1,1,1
ccfx-21-8,12,500,0,2000,0,1,1,1
ccfx-21-9,12,496,0,2000,4,1,0.992,0.996
ccfx-22-1,12,500,0,2000,0,1,1,1
ccfx-22-2,12,500,0,2000,0,1,1,1
