tool,T,tp,fp,tn,fn,fp+fn,precision,recall,f1
7zncd-BZip2-1,39,386,44,1956,114,158,0.897674419,0.772,0.830107527
7zncd-BZip2-3,39,386,44,1956,114,158,0.897674419,0.772,0.830107527
7zncd-BZip2-5,39,386,44,1956,114,158,0.897674419,0.772,0.830107527
7zncd-BZip2-7,37,394,80,1920,106,186,0.831223629,0.788,0.809034908
7zncd-BZip2-9,37,394,80,1920,106,186,0.831223629,0.788,0.809034908
7zncd-default,32,415,116,1884,85,201,0.781544256,0.83,0.805043647
7zncd-Deflate-1,32,331,20,1980,169,189,0.943019943,0.662,0.777908343
7zncd-Deflate-3,32,331,20,1980,169,189,0.943019943,0.662,0.777908343
7zncd-Deflate-5,29,413,132,1868,87,219,0.757798165,0.826,0.790430622
7zncd-Deflate-7,30,413,104,1896,87,191,0.798839458,0.826,0.812192724
7zncd-Deflate-9,30,416,104,1896,84,188,0.8,0.832,0.815686275
7zncd-Deflate64-1,32,331,19,1981,169,188,0.945714286,0.662,0.778823529
7zncd-Deflate64-3,32,331,19,1981,169,188,0.945714286,0.662,0.778823529
7zncd-Deflate64-5,29,413,132,1868,87,219,0.757798165,0.826,0.790430622
7zncd-Deflate64-7,30,413,104,1896,87,191,0.798839458,0.826,0.812192724
7zncd-Deflate64-9,30,414,103,1897,86,189,0.800773694,0.828,0.814159292
7zncd-LZMA-1,35,336,16,1984,164,180,0.954545455,0.672,0.788732394
7zncd-LZMA-3,35,337,17,1983,163,180,0.951977401,0.674,0.789227166
7zncd-LZMA-5,32,415,116,1884,85,201,0.781544256,0.83,0.805043647
7zncd-LZMA-7,33,417,105,1895,83,188,0.798850575,0.834,0.816046967
7zncd-LZMA-9,33,417,105,1895,83,188,0.798850575,0.834,0.816046967
7zncd-LZMA2-1,36,330,9,1991,170,179,0.973451327,0.66,0.786650775
7zncd-LZMA2-3,36,330,9,1991,170,179,0.973451327,0.66,0.786650775
7zncd-LZMA2-5,32,418,119,1881,82,201,0.77839851,0.836,0.806171649
7zncd-LZMA2-7,34,398,74,1926,102,176,0.843220339,0.796,0.818930041
7zncd-LZMA2-9,34,398,74,1926,102,176,0.843220339,0.796,0.818930041
7zncd-PPMd-1,32,377,84,1916,123,207,0.817787419,0.754,0.784599376
7zncd-PPMd-3,32,377,84,1916,123,207,0.817787419,0.754,0.784599376
7zncd-PPMd-5,33,390,93,1907,110,203,0.807453416,0.78,0.793489318
7zncd-PPMd-7,34,417,116,1884,83,199,0.782363977,0.834,0.807357212
7zncd-PPMd-9,35,412,108,1892,88,196,0.792307692,0.824,0.807843137
bsdiff,71,231,66,1934,269,335,0.777777778,0.462,0.579673777
bzip2ncd-1,30,420,102,1898,80,182,0.804597701,0.84,0.821917808
bzip2ncd-2,30,420,102,1898,80,182,0.804597701,0.84,0.821917808
bzip2ncd-3,30,420,102,1898,80,182,0.804597701,0.84,0.821917808
bzip2ncd-4,30,420,102,1898,80,182,0.804597701,0.84,0.821917808
bzip2ncd-5,30,420,102,1898,80,182,0.804597701,0.84,0.821917808
bzip2ncd-6,30,420,102,1898,80,182,0.804597701,0.84,0.821917808
bzip2ncd-7,30,420,102,1898,80,182,0.804597701,0.84,0.821917808
bzip2ncd-8,30,420,102,1898,80,182,0.804597701,0.84,0.821917808
bzip2ncd-9,30,420,102,1898,80,182,0.804597701,0.84,0.821917808
bzip2ncd-default,30,420,102,1898,80,182,0.804597701,0.84,0.821917808
ccfx-10-10,9,348,100,1900,152,252,0.776785714,0.696,0.734177215
ccfx-10-11,11,300,42,1958,200,242,0.877192982,0.6,0.712589074
ccfx-10-12,0,352,196,1804,148,344,0.642335766,0.704,0.671755725
ccfx-10-1,31,318,8,1992,182,190,0.975460123,0.636,0.769975787
ccfx-10-2,31,318,8,1992,182,190,0.975460123,0.636,0.769975787
ccfx-10-3,31,318,8,1992,182,190,0.975460123,0.636,0.769975787
ccfx-10-4,31,318,8,1992,182,190,0.975460123,0.636,0.769975787
ccfx-10-5,31,318,8,1992,182,190,0.975460123,0.636,0.769975787
ccfx-10-6,31,316,0,2000,184,184,1,0.632,0.774509804
ccfx-10-7,27,330,16,1984,170,186,0.953757225,0.66,0.780141844
ccfx-10-8,12,376,82,1918,124,206,0.820960699,0.752,0.784968685
ccfx-10-9,14,348,50,1950,152,202,0.874371859,0.696,0.775055679
ccfx-15-10,0,420,200,1800,80,280,0.677419355,0.84,0.75
ccfx-15-11,0,420,184,1816,80,264,0.695364238,0.84,0.760869565
ccfx-15-12,2,316,100,1900,184,284,0.759615385,0.632,0.689956332
ccfx-15-1,9,396,96,1904,104,200,0.804878049,0.792,0.798387097
ccfx-15-2,9,396,96,1904,104,200,0.804878049,0.792,0.798387097
ccfx-15-3,9,396,96,1904,104,200,0.804878049,0.792,0.798387097
ccfx-15-4,9,396,96,1904,104,200,0.804878049,0.792,0.798387097
ccfx-15-5,9,396,96,1904,104,200,0.804878049,0.792,0.798387097
ccfx-15-6,11,366,52,1948,134,186,0.875598086,0.732,0.797385621
ccfx-15-7,11,366,52,1948,134,186,0.875598086,0.732,0.797385621
ccfx-15-8,10,360,42,1958,140,182,0.895522388,0.72,0.798226164
ccfx-15-9,8,360,58,1942,140,198,0.861244019,0.72,0.784313725
ccfx-16-1,9,396,76,1924,104,180,0.838983051,0.792,0.814814815
ccfx-16-2,9,396,76,1924,104,180,0.838983051,0.792,0.814814815
ccfx-16-3,9,396,76,1924,104,180,0.838983051,0.792,0.814814815
ccfx-16-4,9,396,76,1924,104,180,0.838983051,0.792,0.814814815
ccfx-16-5,9,396,76,1924,104,180,0.838983051,0.792,0.814814815
ccfx-16-6,12,340,8,1992,160,168,0.977011494,0.68,0.801886792
ccfx-16-7,12,340,8,1992,160,168,0.977011494,0.68,0.801886792
ccfx-16-8,10,360,40,1960,140,180,0.9,0.72,0.8
ccfx-16-9,8,360,56,1944,140,196,0.865384615,0.72,0.786026201
ccfx-17-1,12,340,0,2000,160,160,1,0.68,0.80952381
ccfx-17-2,12,340,0,2000,160,160,1,0.68,0.80952381
ccfx-17-3,12,340,0,2000,160,160,1,0.68,0.80952381
ccfx-17-4,12,340,0,2000,160,160,1,0.68,0.80952381
ccfx-17-5,12,340,0,2000,160,160,1,0.68,0.80952381
ccfx-17-6,12,332,0,2000,168,168,1,0.664,0.798076923
ccfx-17-7,12,332,0,2000,168,168,1,0.664,0.798076923
