tool,T,tp,tn,fp,tn,precision,recall,f-score
7zncd-BZip2-1,62,335,15,66613,118,0.957142857,0.739514349,0.834371108
7zncd-BZip2-3,62,335,15,66613,118,0.957142857,0.739514349,0.834371108
7zncd-BZip2-4,62,335,15,66613,118,0.957142857,0.739514349,0.834371108
7zncd-BZip2-5,62,335,15,66613,118,0.957142857,0.739514349,0.834371108
7zncd-BZip2-6,62,335,15,66613,118,0.957142857,0.739514349,0.834371108
7zncd-BZip2-7,64,323,12,66616,130,0.964179104,0.713024283,0.819796954
7zncd-BZip2-8,64,323,12,66616,130,0.964179104,0.713024283,0.819796954
7zncd-BZip2-9,64,323,12,66616,130,0.964179104,0.713024283,0.819796954
ccfx-20-1,44,405,32,66596,48,0.926773455,0.894039735,0.91011236
ccfx-20-2,44,405,32,66596,48,0.926773455,0.894039735,0.91011236
ccfx-20-3,44,405,32,66596,48,0.926773455,0.894039735,0.91011236
ccfx-20-4,44,405,32,66596,48,0.926773455,0.894039735,0.91011236
ccfx-20-5,44,405,32,66596,48,0.926773455,0.894039735,0.91011236
ccfx-20-6,44,405,32,66596,48,0.926773455,0.894039735,0.91011236
ccfx-20-7,44,405,32,66596,48,0.926773455,0.894039735,0.91011236
ccfx-21-1,37,435,61,66567,18,0.877016129,0.960264901,0.916754478
ccfx-21-2,37,435,61,66567,18,0.877016129,0.960264901,0.916754478
ccfx-21-3,37,435,61,66567,18,0.877016129,0.960264901,0.916754478
ccfx-21-4,37,435,61,66567,18,0.877016129,0.960264901,0.916754478
ccfx-21-5,37,435,61,66567,18,0.877016129,0.960264901,0.916754478
ccfx-21-6,37,435,61,66567,18,0.877016129,0.960264901,0.916754478
ccfx-21-7,37,435,60,66568,18,0.878787879,0.960264901,0.917721519
ccfx-22-1,35,438,63,66565,15,0.874251497,0.966887417,0.918238994
ccfx-22-2,35,438,63,66565,15,0.874251497,0.966887417,0.918238994
ccfx-22-3,35,438,63,66565,15,0.874251497,0.966887417,0.918238994
ccfx-22-4,35,438,63,66565,15,0.874251497,0.966887417,0.918238994
ccfx-22-5,35,438,63,66565,15,0.874251497,0.966887417,0.918238994
ccfx-22-6,35,438,63,66565,15,0.874251497,0.966887417,0.918238994
ccfx-22-7,35,437,62,66566,16,0.875751503,0.964679912,0.918067227
ccfx-24-1,36,434,45,66583,19,0.90605428,0.958057395,0.931330472
ccfx-24-2,36,434,45,66583,19,0.90605428,0.958057395,0.931330472
ccfx-24-3,36,434,45,66583,19,0.90605428,0.958057395,0.931330472
ccfx-24-4,36,434,45,66583,19,0.90605428,0.958057395,0.931330472
ccfx-24-5,36,434,45,66583,19,0.90605428,0.958057395,0.931330472
ccfx-24-6,36,434,45,66583,19,0.90605428,0.958057395,0.931330472
ccfx-24-7,36,434,45,66583,19,0.90605428,0.958057395,0.931330472
ccfx-25-2,,,,,,,,
ccfx-25-3,35,436,47,66581,17,0.902691511,0.962472406,0.931623932
ccfx-25-4,35,436,47,66581,17,0.902691511,0.962472406,0.931623932
ccfx-25-5,35,436,47,66581,17,0.902691511,0.962472406,0.931623932
ccfx-25-6,35,436,47,66581,17,0.902691511,0.962472406,0.931623932
