tool,T,tp,fp,tn,fn,precision,recall,f1
7zncd-BZip2-1,40,460,106,1894,40,0.812720848,0.92,0.8630394
7zncd-BZip2-3,40,460,106,1894,40,0.812720848,0.92,0.8630394
7zncd-BZip2-5,40,460,106,1894,40,0.812720848,0.92,0.8630394
7zncd-BZip2-7,40,458,110,1890,42,0.806338028,0.916,0.857677903
7zncd-BZip2-9,40,458,110,1890,42,0.806338028,0.916,0.857677903
7zncd-default,38,439,67,1933,61,0.867588933,0.878,0.872763419
7zncd-Deflate-1,34,419,60,1940,81,0.87473904,0.838,0.855975485
7zncd-Deflate-3,34,419,60,1940,81,0.87473904,0.838,0.855975485
7zncd-Deflate-5,36,427,58,1942,73,0.880412371,0.854,0.867005076
7zncd-Deflate-7,37,427,52,1948,73,0.891440501,0.854,0.872318693
7zncd-Deflate-9,37,427,52,1948,73,0.891440501,0.854,0.872318693
7zncd-Deflate64-1,34,419,60,1940,81,0.87473904,0.838,0.855975485
7zncd-Deflate64-3,34,419,60,1940,81,0.87473904,0.838,0.855975485
7zncd-Deflate64-5,36,428,58,1942,72,0.880658436,0.856,0.868154158
7zncd-Deflate64-7,37,426,52,1948,74,0.891213389,0.852,0.871165644
7zncd-Deflate64-9,37,427,52,1948,73,0.891440501,0.854,0.872318693
7zncd-LZMA-1,37,431,56,1944,69,0.885010267,0.862,0.873353597
7zncd-LZMA-3,37,431,56,1944,69,0.885010267,0.862,0.873353597
7zncd-LZMA-5,38,439,67,1933,61,0.867588933,0.878,0.872763419
7zncd-LZMA-7,39,436,56,1944,64,0.886178862,0.872,0.879032258
7zncd-LZMA-9,39,436,56,1944,64,0.886178862,0.872,0.879032258
7zncd-LZMA2-1,37,431,64,1936,69,0.870707071,0.862,0.866331658
7zncd-LZMA2-3,37,431,64,1936,69,0.870707071,0.862,0.866331658
7zncd-LZMA2-5,38,439,67,1933,61,0.867588933,0.878,0.872763419
7zncd-LZMA2-7,39,437,56,1944,63,0.886409736,0.874,0.880161128
7zncd-LZMA2-9,39,437,56,1944,63,0.886409736,0.874,0.880161128
7zncd-PPMd-1,37,421,52,1948,79,0.890063425,0.842,0.865364851
7zncd-PPMd-3,37,421,52,1948,79,0.890063425,0.842,0.865364851
7zncd-PPMd-5,39,421,52,1948,79,0.890063425,0.842,0.865364851
7zncd-PPMd-7,41,435,58,1942,65,0.882352941,0.87,0.876132931
7zncd-PPMd-9,42,431,52,1948,69,0.892339545,0.862,0.876907426
bsdiff,71,351,28,1972,149,0.926121372,0.702,0.798634812
bzip2ncd-1,35,460,90,1910,40,0.836363636,0.92,0.876190476
bzip2ncd-2,35,460,90,1910,40,0.836363636,0.92,0.876190476
bzip2ncd-3,35,460,90,1910,40,0.836363636,0.92,0.876190476
bzip2ncd-4,35,460,90,1910,40,0.836363636,0.92,0.876190476
bzip2ncd-5,35,460,90,1910,40,0.836363636,0.92,0.876190476
bzip2ncd-6,35,460,90,1910,40,0.836363636,0.92,0.876190476
bzip2ncd-7,35,460,90,1910,40,0.836363636,0.92,0.876190476
