tool,tp,fp
7zncd-BZip2-1,365,88
7zncd-BZip2-3,365,88
7zncd-BZip2-4,365,88
7zncd-BZip2-5,365,88
7zncd-BZip2-6,365,88
7zncd-BZip2-7,358,95
7zncd-BZip2-8,358,95
7zncd-BZip2-9,358,95
ccfx-20-1,411,42
ccfx-20-2,411,42
ccfx-20-3,411,42
ccfx-20-4,411,42
ccfx-20-5,411,42
ccfx-20-6,411,42
ccfx-20-7,411,42
ccfx-21-1,412,41
ccfx-21-2,412,41
ccfx-21-3,412,41
ccfx-21-4,412,41
ccfx-21-5,412,41
ccfx-21-6,412,41
ccfx-21-7,412,41
ccfx-22-1,411,42
ccfx-22-2,411,42
ccfx-22-3,411,42
ccfx-22-4,411,42
ccfx-22-5,411,42
ccfx-22-6,411,42
ccfx-22-7,411,42
ccfx-24-1,416,37
ccfx-24-2,416,37
ccfx-24-3,416,37
ccfx-24-4,416,37
ccfx-24-5,416,37
ccfx-24-6,416,37
ccfx-24-7,416,37
ccfx-50-4,417,36
ccfx-50-5,417,36
ccfx-50-6,417,36
ccfx-50-7,417,36
ccfx-50-8,417,36
ccfx-50-9,417,36
jplag-java-1,321,132
jplag-java-2,367,86
jplag-java-3,386,67
jplag-java-4,393,60
jplag-java-5,401,52
jplag-java-7,417,36
jplag-java-8,425,28
jplag-java-9,425,28
jplag-text-10,429,24
jplag-text-11,429,24
jplag-text-12,427,26
jplag-text-1,413,40
jplag-text-2,431,22
jplag-text-3,435,18
jplag-text-4,439,14
jplag-text-5,433,20
jplag-text-6,431,22
jplag-text-7,434,19
jplag-text-8,434,19
jplag-text-9,437,16
ncd-bzlib,385,68
py-difflib.SM_autojunk,428,25
py-difflib.SM_noautojunk,425,28
py-difflib.SM_nowhitespace_autojunk,426,27
py-difflib.SM_nowhitespace_noautojunk,426,27
py-sklearn.cosine_similarity,393,60
simjava-10,420,33
simjava-11,425,28
simjava-12,425,28
simjava-13,428,25
simjava-14,430,23
simjava-15,430,23
simjava-16,431,22
simjava-17,431,22
simjava-18,435,18
simjava-19,435,18
simjava-20,436,17
simjava-21,436,17
simjava-22,435,18
simjava-23,435,18
simjava-24,437,16
simjava-25,437,16
simjava-26,435,18
simjava-27,436,17
simjava-28,436,17
simjava-default,437,16
