tool,tp,fp
7zdcd-Bzip2-2,371,56
7zdcd-default,372,55
7zdcd-Deflate64-7,372,55
7zdcd-Deflate-7,373,54
7zdcd-LZMA2-7,373,54
7zdcd-LZMA-7,373,54
7zdcd-PPMd-9,371,56
7zncd-Bzip2-1,360,67
7zncd-BZip2-1,360,67
7zncd-BZip2-3,360,67
7zncd-BZip2-4,360,67
7zncd-BZip2-5,360,67
7zncd-BZip2-6,360,67
7zncd-BZip2-7,355,72
7zncd-BZip2-8,355,72
7zncd-BZip2-9,355,72
7zncd-default,372,55
7zncd-Deflate64-9,369,58
7zncd-Deflate-9,369,58
7zncd-LZMA2-7,373,54
7zncd-LZMA-7,373,54
7zncd-PPMd-9,367,60
bsdiff,249,178
bzip2ncd-1,378,49
ccfx-20-1,384,43
ccfx-20-2,384,43
ccfx-20-3,384,43
ccfx-20-4,384,43
ccfx-20-5,384,43
ccfx-20-6,384,43
ccfx-20-7,384,43
ccfx-21-1,385,42
ccfx-21-2,385,42
ccfx-21-3,385,42
ccfx-21-4,385,42
ccfx-21-5,385,42
ccfx-21-6,385,42
ccfx-21-7,385,42
ccfx-22-1,382,45
ccfx-22-2,382,45
ccfx-22-3,382,45
ccfx-22-4,382,45
ccfx-22-5,382,45
ccfx-22-6,382,45
ccfx-22-7,382,45
ccfx-24-1,388,39
ccfx-24-2,388,39
ccfx-24-3,388,39
ccfx-24-4,388,39
ccfx-24-5,388,39
ccfx-24-6,388,39
ccfx-24-7,388,39
ccfx-50-4,383,44
ccfx-50-5,383,44
ccfx-50-6,383,44
ccfx-50-7,383,44
ccfx-50-8,383,44
ccfx-50-9,383,44
deckard-30-2-0.95,383,44
diff,4,423
gzipncd-3,374,53
iclones-10-50,368,59
inclusion_7zdcd-Deflate64-7,311,116
jplag-java-1,318,109
jplag-java-2,362,65
jplag-java-3,373,54
jplag-java-4,386,41
jplag-java-5,391,36
jplag-java-7,401,26
jplag-java-8,403,24
jplag-java-9,403,24
jplag-text-10,393,34
jplag-text-11,393,34
jplag-text-12,391,36
jplag-text-1,391,36
jplag-text-2,395,32
jplag-text-3,401,26
jplag-text-4,405,22
jplag-text-5,399,28
jplag-text-6,396,31
jplag-text-7,395,32
jplag-text-8,394,33
jplag-text-9,393,34
lucene,381,46
ncd-bzlib,376,51
plaggie-7,362,65
py-difflib.SM_autojunk,397,30
py-difflib.SM_noautojunk,399,28
py-difflib.SM_nowhitespace_autojunk,398,29
py-difflib.SM_nowhitespace_noautojunk,399,28
py-fuzzywuzzy.ratio,397,30
py-fuzzywuzzy.token_set_ratio,369,58
py-jellyfish.jaro_distance,332,95
py-jellyfish.jaro_winkler,339,88
py-ngram.compare,385,42
py-sklearn.cosine_similarity,379,48
sherlock1-2-1,379,48
sherlock1-default,351,76
simian-5ignoreIdentifiers,383,44
simjava-10,395,32
simjava-11,399,28
simjava-12,396,31
simjava-13,399,28
simjava-14,399,28
simjava-15,399,28
simjava-16,399,28
simjava-17,399,28
simjava-18,401,26
simjava-19,401,26
simjava-20,400,27
simjava-21,401,26
simjava-22,401,26
simjava-23,400,27
simjava-24,400,27
simjava-25,401,26
simjava-26,401,26
simjava-27,401,26
simjava-28,400,27
simjava-default,400,27
simtext-10,395,32
simtext-default,391,36
sortuniq,363,64
